Note,Study,Participant,Date,Raw notes
RN-201,Onboarding friction,P04 warehouse supervisor,2026-02-03,"Signed up on a phone during a shift. Skipped the tour twice because he thought it was an ad. Found the import button only after the researcher pointed at it. Said he expected the app to read the file straight from the shared drive. Kept calling the projects 'folders'. Finished the first import in 11 minutes but said it felt like 30."
RN-202,Onboarding friction,P07 clinic administrator,2026-02-04,"Very comfortable with spreadsheets, 14 years of practice. Immediately looked for a formula bar and was surprised there was none. Wanted to see what the model would write before running it on 900 rows. Asked three times whether the data leaves the building. Once told it stays local she relaxed and ran the whole sheet."
RN-203,Onboarding friction,P11 freelance translator,2026-02-05,"Works across four languages and expected the tool to keep the source language column untouched. Wrote a prompt with no column reference at all and got the same answer on every row, then worked out the problem on her own within a minute. Said the highlighted column names were the part that made the idea click."
RN-204,Batch reliability,P02 logistics analyst,2026-02-11,"Ran 2400 rows overnight on a laptop that went to sleep. Came back to a partial column and no clear record of where it stopped. Rebuilt the missing part by sorting on blanks. Asked for a way to run only the empty cells, said that would have saved him an hour."
RN-205,Batch reliability,P05 grants officer,2026-02-12,"Cared most about consistency between rows. Ran the same 60 rows three times and compared answers by hand in a separate sheet. Two rows changed wording each time and that bothered her more than an outright error would have. Asked whether the temperature setting was what caused it."
RN-206,Batch reliability,P09 quality lead,2026-02-13,"Wanted the model to answer only from a fixed list because his downstream pivot table breaks on free text. Tried to enforce the list in the prompt text itself and still got a sentence back on two rows. Said a hard constraint would matter more to him than speed."
RN-207,Trust and review,P03 policy researcher,2026-02-18,"Read every generated cell for the first 40 rows, then spot-checked. Wanted a way to mark a cell as reviewed. Said the value of the tool is the first pass, not the final answer, and that she would never publish a column she had not read."
RN-208,Trust and review,P08 nonprofit director,2026-02-19,"Ran an approval prompt on grant applications and then deliberately fed it a case he knew was borderline. The model approved it and he immediately lost confidence in the rest of the column. Talked for a while about wanting the reason next to the decision."
RN-209,Trust and review,P12 data journalist,2026-02-20,"Used it to label 1100 council motions by topic. Compared against 80 rows she had labelled by hand last year, agreement was high enough that she kept the column. Wanted to export both the labels and the exact prompt that produced them for her methodology note."
RN-210,Model choice,P06 solo consultant,2026-02-25,"Had three models on his machine and no idea which to pick. Chose the largest one, waited four seconds a row, and got frustrated. Switched to a small model after prompting and said the answers were close enough for triage work."
RN-211,Model choice,P10 university lecturer,2026-02-26,"Ran the same summary prompt across two models on 30 abstracts and put the results side by side. Said the smaller model wrote shorter and cleaner and that longer was not better for her use. Asked whether she could keep both columns."
RN-212,Model choice,P13 municipal archivist,2026-02-27,"Machine is eight years old and the first run took nine minutes for 20 rows. Never complained about the wait, said it still beats reading each record. Main worry was whether the tool would still work when the office network is down."
